	metabolite	logFC	statistic	P.Value	q	hmdb	metab_ids
341	methyl indole-3-acetate	0.08119994088316719	-0.38033901898647765	0.7053898224821299	0.8315834145775568	HMDB29738	HMDB29738
342	etiocholanolone glucuronide	0.0684938266563674	-0.370569348063356	0.7125914244445424	0.8343325561833594	HMDB04484	HMDB04484
343	cysteine-glutathione disulfide	0.0705605465366183	-0.3604291835530595	0.7200288387786753	0.8411245980278161	HMDB00656	HMDB00656
344	isoursodeoxycholate	0.06477413178177852	-0.35813449671270214	0.7219610398355933	0.8414693298764059	HMDB00686	HMDB00686
345	4-methyl-2-oxopentanoate	-0.061592523898482104	0.34517893983270803	0.7299598504615677	0.8470346868980528	HMDB00695	HMDB00695
346	tauro-beta-muricholate	0.14960018005681303	-0.34237260698853966	0.7320705006795089	0.8470346868980528	HMDB00932	HMDB00932
347	2-methylbutyrylcarnitine (C5)	-0.06316212457145338	0.3416204679643235	0.7341378871943006	0.8470346868980528	HMDB00378	HMDB00378
348	5-acetylamino-6-amino-3-methyluracil	-0.14559823624022303	0.3395662741443713	0.7341831798076472	0.8470346868980528	HMDB04400	HMDB04400
349	gamma-glutamylleucine	-0.056811952955646706	0.3406023926339037	0.7349756232617346	0.8470346868980528	HMDB11171	HMDB11171
350	acetoacetate	0.062403379912193274	-0.33114727561186624	0.740533243384807	0.8496296587048902	HMDB00060	HMDB00060
351	2-palmitoleoyl-GPC (16:1)*	0.06080245847620846	-0.3216070053209022	0.74927443927902	0.8577440128940229	HMDB10383	HMDB10383
352	3-methyl-2-oxovalerate	-0.05093226704087464	0.2989779053029132	0.766302719420766	0.8752879950717194	HMDB03736	HMDB03736
353	5alpha-androstan-3beta,17beta-diol disulfate	0.04879949519872647	-0.2958079968696379	0.7687239781792671	0.8761067068384552	HMDB00493	HMDB00493
354	succinylcarnitine (C4-DC)	-0.04458072379165794	0.28925075240751785	0.7728686829253453	0.8771599221878471	HMDB61717	HMDB61717
355	gamma-glutamylisoleucine*	-0.047847920153029876	0.2870740866495455	0.7753983288624094	0.8771599221878471	HMDB11170	HMDB11170
356	2-aminoadipate	-0.04298397728642373	0.2806332844168358	0.7789916842208832	0.8771599221878471	HMDB00510	HMDB00510
357	palmitoylcarnitine (C16)	0.05125883580501524	-0.28164947619638814	0.7795377870128827	0.8771599221878471	HMDB00222	HMDB00222
358	cholesterol	-0.04663560249354599	0.2750206187284991	0.7833003974401204	0.8771599221878471	HMDB00067	HMDB00067
359	theobromine	-0.03581210474444552	0.2750206187284991	0.7833003974401204	0.8771599221878471	HMDB02825	HMDB02825
360	docosadienoate (22:2n6)	-0.06608261896370746	0.2750206187284991	0.7833003974401204	0.8771599221878471	HMDB61714	HMDB61714
361	phenylalanylphenylalanine	0.05691415355003335	-0.26379528735182567	0.7919376661389723	0.8849042617291994	HMDB13302	HMDB13302
362	quinate	0.10809285972886945	-0.24415095744264714	0.8071139080734547	0.8955274172995691	HMDB03072	HMDB03072
363	adenosine 5'-monophosphate (AMP)	0.1102422912995916	-0.24498999061444082	0.8075201961410821	0.8955274172995691	HMDB00045	HMDB00045
364	theanine	-0.09604562236364811	0.23866074644405863	0.8123174178558544	0.8955274172995691	HMDB34365	HMDB34365
365	thymol sulfate	0.04977847174798359	-0.2298440897660053	0.8192447117238686	0.8997687645856164	HMDB01878	HMDB01878
366	hydroquinone sulfate	0.03787172815829688	-0.21884662210298927	0.8276931920902006	0.9034922068155131	HMDB02434	HMDB02434
367	N-acetylglycine	-0.014607738222986558	0.2132812961567952	0.8311075614359609	0.9034922068155131	HMDB00532	HMDB00532
368	1-stearoyl-GPI (18:0)	0.03694884358923408	-0.2095335106639692	0.8348920040550143	0.9034922068155131	HMDB61696	HMDB61696
369	N1-methyl-4-pyridone-3-carboxamide	0.0412295336817747	-0.20958119973087044	0.8349392961816513	0.9034922068155131	HMDB04194	HMDB04194
370	alpha-hydroxyisocaproate	-0.17815189328947853	0.1992496319359534	0.8420674770028875	0.9064177451320459	HMDB00746	HMDB00746
371	ursodeoxycholate	0.03856974328719783	-0.19561261687918227	0.8457951771018014	0.9064177451320459	HMDB00946	HMDB00946
372	xylonate	-0.015227929710731123	0.1936369662476167	0.846460151096074	0.9064177451320459	HMDB60256	HMDB60256
373	erythronate*	-0.028642533901849634	0.18302798366621773	0.8554956677756966	0.9141887177478338	HMDB00613	HMDB00613
374	myristoylcarnitine (C14)	-0.02502078249687919	0.1796053020267749	0.8574624419592412	0.9143894090602697	HMDB05066	HMDB05066
375	theophylline	-0.002771941923992269	0.1683799706501015	0.8662843642381372	0.9199796760710796	HMDB01889	HMDB01889
376	2-ethylhexanoate	0.03181857092514901	-0.16536178115240374	0.8694030379955573	0.9213879619169412	HMDB31230	HMDB31230
377	N-acetylthreonine	0.05887834028384883	-0.15715463927342804	0.8751229766102288	0.9236410882498103	HMDB62557	HMDB62557
378	tyramine O-sulfate	0.03447926936942275	-0.1546126746426738	0.8777877319326762	0.9245551110930238	HMDB06409	HMDB06409
379	fructose	0.03792528657950399	-0.14873564074092296	0.8817622367812333	0.9268421057373292	HMDB00660	HMDB00660
380	gamma-glutamyltyrosine	-0.0204225605628536	0.12909131083174447	0.8972853974310304	0.9393170962923617	HMDB11741	HMDB11741
381	pregnanediol-3-glucuronide	-0.02148081663915682	0.11767625832349243	0.90681282084413	0.947092276275639	HMDB10318	HMDB10318
382	3-(4-hydroxyphenyl)lactate	0.028045799939174658	-0.11505964661090268	0.9083978447546499	0.947092276275639	HMDB00755	HMDB00755
383	N-acetylleucine	0.01854127437582922	-0.1066406480783976	0.9150740699332481	0.9503897338884273	HMDB11756	HMDB11756
384	phenylalanine	0.018597230971135015	-0.10702398458097245	0.9152585958653142	0.9503897338884273	HMDB00159	HMDB00159
385	N1-Methyl-2-pyridone-5-carboxamide	0.020319635783259342	-0.10394845045156836	0.9176959495000685	0.9509994315383774	HMDB04193	HMDB04193
386	acisoga	-0.019708471470863496	0.1000082500637626	0.9207758632208463	0.9522712146791046	HMDB61384	HMDB61384
387	p-cresol glucuronide*	0.036976750824051836	-0.08980265101338746	0.928444041500591	0.9563531810246568	HMDB11686	HMDB11686
388	urate	-0.013357045373639386	0.07982631911399794	0.9367546854109774	0.9629838166024848	HMDB00289	HMDB00289
389	2-hydroxyisobutyrate	0.012145512866107839	-0.0716419658903211	0.9432078310603296	0.9676822857585018	HMDB00729	HMDB00729
390	16-hydroxypalmitate	-0.0053268648153952415	0.06735198826004059	0.9463014901654972	0.9681093116340511	HMDB06294	HMDB06294
391	L-urobilin	0.016653901323831103	-0.06634999171544982	0.947391018972622	0.9681093116340511	HMDB04159	HMDB04159
392	paraxanthine	0.02677541527257424	0.058932989727535516	0.9530054817032416	0.9699897378128044	HMDB01860	HMDB01860
393	2-oxoarginine*	-0.009375277263676344	0.0481215805862699	0.9618324045997652	0.9754520503699068	HMDB04225	HMDB04225
394	taurolithocholate 3-sulfate	0.002161203142128182	-0.04490132550669373	0.9641859603103198	0.9754520503699068	HMDB02580	HMDB02580
395	cis-vaccenate (18:1n7)	0.018105481702109932	-0.04209499266252537	0.9664229719109402	0.9754520503699068	HMDB03231	HMDB03231
396	cholate	0.004106635888286589	-0.024908271449640366	0.9802308569250133	0.9859856369069605	HMDB00619	HMDB00619
397	caffeine	-0.0025158688322180775	0.019644329909178505	0.9843271004924945	0.9881721282287933	HMDB01847	HMDB01847
398	ribulose	0.003691141731990727	-0.01690454075624225	0.9865791483556557	0.9885023045902671	HMDB00621	HMDB00621
399	N-acetyltryptophan	-0.013937336986612488	0.0	1.0	1.0	HMDB13713	HMDB13713
