	metab	Spearman_bulk	Spearman_matched	p_bulk	p_matched	q_bulk	q_matched	hmdb	metab_ids
394	hexadecanedioate (C16-DC)	0.04536355975205188	0.11348756324660074	0.5442569352922337	0.1466726825111475	0.8548329112112881	0.5366227162998676	HMDB00672	HMDB00672
395	1-eicosenoyl-GPC (20:1)*	-0.045118487554346845	-1.606657101517418e-05	0.5464361817995429	0.9998365853579436	0.8556111662350774	0.9998365853579436	HMDB10391	HMDB10391
396	docosapentaenoate (n6 DPA; 22:5n6)	0.044493615382229956	-0.001122659147500702	0.5520120344777222	0.988581711711382	0.861999285410817	0.994390064894175	HMDB01976	HMDB01976
397	penicillin G	-0.05940716072044234	0.03398684840649312	0.5531058046460262	0.7358081764752628	0.861999285410817	0.9479265570750142	HMDB15186	HMDB15186
398	gamma-glutamyltryptophan	-0.0454717247856446	0.021670513981313075	0.5548124397946543	0.7856255320776393	0.861999285410817	0.9479265570750142	HMDB29160	HMDB29160
399	N1-Methyl-2-pyridone-5-carboxamide	-0.04416826881329239	-0.02420830587711369	0.5549260904169802	0.7575934567655976	0.861999285410817	0.9479265570750142	HMDB04193	HMDB04193
400	2-methylbutyrylcarnitine (C5)	-0.04401145348436388	0.047206263404417595	0.5563333079759691	0.5471066455423592	0.861999285410817	0.8497857179780234	HMDB00378	HMDB00378
401	maltotetraose	-0.06203909878445347	0.06595720712183235	0.5568757065796517	0.5344872836759487	0.861999285410817	0.8495517006351706	HMDB01296	HMDB01296
402	asparagine	0.043726434334160215	0.08120580543436202	0.558895401360507	0.2997866550716415	0.8620790769332379	0.7311036374396728	HMDB00168	HMDB00168
403	salicylate	-0.04336640817113347	0.03765200917406068	0.5621398474471007	0.6311262199224693	0.865048132403889	0.8959271048982318	HMDB01895	HMDB01895
404	N-acetylarginine	0.04328357070832535	0.09698265776295914	0.562887628211409	0.2152649516512422	0.865048132403889	0.6324479484190718	HMDB04620	HMDB04620
405	taurolithocholate 3-sulfate	-0.04309460375983954	0.0030901371585851673	0.5645952277702921	0.9685779684595303	0.8661174103429571	0.994390064894175	HMDB02580	HMDB02580
406	4-hydroxyhippurate	-0.042739023856720765	-0.04905793571391642	0.5678151097384955	0.5314809919496708	0.8679637529672452	0.8490672187334626	HMDB13678	HMDB13678
407	tryptophan betaine	-0.04273773966229976	0.03352557818499678	0.567826754277637	0.6690223384115561	0.8679637529672452	0.9090208280639556	HMDB61115	HMDB61115
408	solanidine	-0.0647586442226644	0.007218617870979081	0.5707082723213373	0.9496561229405626	0.8694929083163471	0.994390064894175	HMDB03236	HMDB03236
409	2-methoxyacetaminophen sulfate*	0.06037220363299542	-0.08227190724830301	0.5741079892505138	0.45687724835836596	0.8704330593445875	0.8264386056880059	HMDB62550	HMDB62550
410	glucose	0.04191063004480975	0.0463949015681513	0.5753500773917555	0.5540237267085907	0.8704330593445875	0.8529573921988375	HMDB00122	HMDB00122
411	1-linoleoyl-GPC (18:2)	0.04190189910169241	0.12877892221029275	0.5754297418648918	0.09925195554359216	0.8704330593445875	0.47199818858508275	HMDB10386	HMDB10386
412	5alpha-androstan-3beta,17beta-diol disulfate	0.041889448522831774	0.15315994372581956	0.5755433546600894	0.04952751508815938	0.8704330593445875	0.33121525715206585	HMDB00493	HMDB00493
